City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Norman Wells,75,CA,1586727337,47,65.28,-126.83,35.6,10.29
1,Saldanha,0,ZA,1586727337,82,-33.01,17.94,57.2,3.36
2,Cape Town,0,ZA,1586727067,82,-33.93,18.42,57.0,4.7
3,Atuona,4,PF,1586727337,71,-9.8,-139.03,82.06,6.04
4,Hermanus,10,ZA,1586727337,92,-34.42,19.23,57.0,1.99
5,Arrecife,20,ES,1586727338,63,28.96,-13.55,66.2,8.05
6,Ngunguru,4,NZ,1586727338,86,-35.62,174.5,66.0,3.0
7,Ambilobe,48,MG,1586727338,82,-13.2,49.05,74.88,5.17
8,Severo-Kuril'sk,88,RU,1586727338,94,50.68,156.12,30.36,8.52
9,Airai,43,TL,1586727338,74,-8.93,125.41,61.77,1.68
10,Vostok,0,RU,1586727338,72,46.49,135.88,29.21,2.19
11,Rikitea,67,PF,1586727334,84,-23.12,-134.97,78.13,15.46
12,Hilo,40,US,1586727333,65,19.73,-155.09,82.4,10.29
13,Lang Son,100,VN,1586727339,68,21.83,106.73,58.5,3.0
14,Port Hardy,40,CA,1586727339,34,50.7,-127.42,53.6,4.7
15,Jamestown,90,US,1586727058,36,42.1,-79.24,68.0,12.75
16,Busselton,72,AU,1586727339,70,-33.65,115.33,63.0,9.28
17,Grand Gaube,40,MU,1586727339,74,-20.01,57.66,78.8,11.41
18,Broome,90,US,1586727339,29,42.25,-75.83,63.0,11.41
19,Hobyo,9,SO,1586727339,75,5.35,48.53,83.52,10.49
20,Port Alfred,0,ZA,1586727339,83,-33.59,26.89,61.0,4.0
21,Mataura,95,NZ,1586727332,71,-46.19,168.86,48.99,11.99
22,Vaini,20,TO,1586726874,74,-21.2,-175.2,78.8,6.93
23,Lázaro Cárdenas,55,MX,1586727340,58,17.96,-102.2,84.7,8.84
24,Muyezerskiy,100,RU,1586727340,90,63.93,31.65,35.46,16.73
25,Carnarvon,2,AU,1586727340,100,-24.87,113.63,75.2,16.11
26,Tanout,85,NE,1586727340,12,14.97,8.89,82.17,10.89
27,Sai Buri,82,TH,1586727340,85,6.7,101.62,79.54,7.63
28,Athabasca,100,CA,1586727340,83,54.72,-113.29,25.41,10.63
29,Wanning,77,CN,1586727341,70,18.8,110.4,65.93,10.58
